location_id,street_address_1,street_address_2,city,state,zip,latitude,longitude,landmark_name
loc119,19790,Eastwood,Portland,Oregon,97211,45.58113,-122.63731,school
loc120,76345,Messerschmidt,Portland,Oregon,97212,45.54424,-122.64347,school
loc121,506,Twin Pines,Portland,Oregon,97213,45.53819,-122.60001,state building
loc122,478,Novick,Portland,Oregon,97214,45.51467,-122.64301,themepark
loc123,2468,School,Portland,Oregon,97215,45.51512,-122.60063,airport
loc124,36423,Service,Portland,Oregon,97216,45.51389,-122.5584,airport
loc125,55,Gerald,Portland,Oregon,97217,45.60181,-122.7008,airport
loc126,83,Kingsford,Portland,Oregon,97218,45.57624,-122.60087,airport
loc127,3112,Butterfield,Portland,Oregon,97219,45.45423,-122.69853,airport
loc128,84503,Westend,Portland,Oregon,97220,45.55002,-122.5593,airport
loc129,6192,Derek,Portland,Oregon,97221,45.49828,-122.72884,airport
loc130,239,Pankratz,Portland,Oregon,97222,45.44095,-122.61811,airport
loc131,1,Cottonwood,Portland,Oregon,97223,45.44029,-122.7766,airport
loc132,77,Mariners Cove,Portland,Oregon,97224,45.4055,-122.79506,airport
loc133,777,Mcbride,Portland,Oregon,97225,45.50285,-122.77021,airport
loc134,3,Hagan,Portland,Oregon,97227,45.54339,-122.6781,airport
loc135,2,Mitchell,Portland,Oregon,97228,45.53,-122.68,airport
loc136,5,Merchant,Portland,Oregon,97229,45.55103,-122.80927,airport
loc137,78,Northridge,Portland,Oregon,97230,45.55776,-122.50527,airport
loc138,964,Aberg,Portland,Oregon,97231,45.68763,-122.82421,airport
loc139,511,Moose,Portland,Oregon,97232,45.52893,-122.64393,airport
loc140,8564,Artisan,Portland,Oregon,97233,45.51531,-122.50217,airport
loc141,72,Johnson,Portland,Oregon,97236,45.48321,-122.51052,airport
loc142,88329,Upham,Portland,Oregon,97238,45.57,-122.6,airport
loc143,4183,Pearson,Portland,Oregon,97239,45.48994,-122.69045,airport
loc144,71939,Tennyson,Portland,Oregon,97240,45.5,-122.65,airport
loc145,66,Cherokee,Portland,Oregon,97242,45.48,-122.64,airport
loc146,1572,Center,Portland,Oregon,97256,45.51,-122.67,airport
loc147,5,Summit,Portland,Oregon,97258,45.51,-122.67,airport
loc148,2891,Dryden,Portland,Oregon,97266,45.48297,-122.55762,airport
loc149,5581,Autumn Leaf,Portland,Oregon,97267,45.40843,-122.61287,airport
loc150,52192,Morning,Portland,Oregon,97268,45.41,-122.63,hospital
loc151,34,Service,Portland,Oregon,97269,45.44,-122.61,hospital
loc152,6,Mccormick,Portland,Oregon,97280,45.45,-122.7,hospital
loc153,80,Briar Crest,Portland,Oregon,97281,45.44,-122.77,hospital
loc154,23545,Milwaukee,Portland,Oregon,97282,45.48,-122.64,hospital
loc155,10551,Paget,Portland,Oregon,97283,45.53,-122.65,hospital
loc156,2,Esch,Portland,Oregon,97286,45.48,-122.59,hospital
loc157,72295,Hazelcrest,Portland,Oregon,97290,45.57,-122.64,hospital
loc158,86,Blackbird,Portland,Oregon,97291,45.54,-122.72,school
loc159,2,Bay,Portland,Oregon,97292,45.51,-122.55,state building
loc160,22,Linden,Portland,Oregon,97293,45.51,-122.64,college
loc161,1218,Hazelcrest,Portland,Oregon,97294,45.54,-122.49,college
loc162,3,6th,Portland,Oregon,97296,45.53,-122.77,college
loc163,98,Carioca,Portland,Oregon,97298,45.5,-122.77,college
loc164,0,Pankratz,Salem,Oregon,97301,44.94878,-123.00365,college
loc165,2370,Mendota,Salem,Oregon,97302,44.9031,-123.06453,college
loc166,840,Crownhardt,Salem,Oregon,97303,45.03035,-123.02369,college
loc167,8412,Armistice,Salem,Oregon,97304,45.0066,-123.11169,college
loc168,566,La Follette,Salem,Oregon,97305,45.01434,-122.92872,college
loc169,32,Toban,Salem,Oregon,97306,44.8429,-123.09475,college
loc170,70,Parkside,Keizer,Oregon,97307,45.01,-123.01,college
loc171,25842,Warrior,Salem,Oregon,97308,44.89,-122.92,college
loc172,61543,Lakeland,Salem,Oregon,97309,44.92,-123.01,college
loc173,199,Superior,Salem,Oregon,97310,44.91,-123,college
loc174,8410,Mitchell,Salem,Oregon,97311,44.94,-123.02,college
loc175,6,Emmet,Salem,Oregon,97312,44.89,-123.06,mosque
loc176,8,Parkside,Salem,Oregon,97314,44.96,-123,mosque
loc177,7883,Bartelt,Salem,Oregon,97317,44.9026,-122.90737,mosque
loc178,64,Meadow Vale,Albany,Oregon,97321,44.65345,-123.13953,mosque
loc179,5271,Moland,Albany,Oregon,97322,44.62755,-123.01761,themepark
loc180,293,Utah,Alsea,Oregon,97324,44.365,-123.62315,school
loc181,388,Bowman,Aumsville,Oregon,97325,44.83382,-122.85223,state building
loc182,4,Aberg,Blodgett,Oregon,97326,44.61948,-123.60281,themepark
loc183,83475,Burrows,Brownsville,Oregon,97327,44.37504,-122.94759,themepark
loc184,2199,Sommers,Cascadia,Oregon,97329,44.41127,-122.38462,school
loc185,9,Maywood,Corvallis,Oregon,97330,44.648,-123.25958,themepark
loc186,8,Forest Run,Corvallis,Oregon,97331,44.5646,-123.28042,hospital
loc187,4,Holmberg,Corvallis,Oregon,97333,44.46807,-123.29383,hospital
loc188,76964,Kings,Crabtree,Oregon,97335,44.63,-122.89,hospital
loc189,25,Huxley,Crawfordsville,Oregon,97336,44.35,-122.85,hospital
loc190,5,Porter,Dallas,Oregon,97338,44.92662,-123.34741,hospital
loc191,78250,Arapahoe,Corvallis,Oregon,97339,44.56,-123.26,hospital
loc192,68,Anderson,Depoe Bay,Oregon,97341,44.80932,-124.05124,hospital
loc193,3048,Old Shore,Detroit,Oregon,97342,44.73927,-121.87897,hospital
loc194,32,Buhler,Eddyville,Oregon,97343,44.57525,-123.75149,chruch
loc195,7001,Sugar,Falls City,Oregon,97344,44.8691,-123.46462,chruch
loc196,1,Butternut,Foster,Oregon,97345,44.41155,-122.57891,chruch
loc197,79106,Mockingbird,Gates,Oregon,97346,44.78836,-122.33533,chruch
loc198,671,Southridge,Grand Ronde,Oregon,97347,45.07711,-123.65639,bus station 
loc199,10607,Clarendon,Halsey,Oregon,97348,44.38329,-123.12226,bus station 
loc200,51182,Brentwood,Idanha,Oregon,97350,44.63146,-121.86376,bus station 
loc201,90024,Bobwhite,Independence,Oregon,97351,44.81529,-123.12949,bus station 
loc202,24,Colorado,Jefferson,Oregon,97352,44.7494,-123.02759,themepark
loc203,46790,Oak,Lebanon,Oregon,97355,44.53224,-122.82104,state building
loc204,2,Katie,Logsden,Oregon,97357,44.75267,-123.8256,themepark
loc205,12313,Dottie,Lyons,Oregon,97358,44.80412,-122.41362,school
loc206,77,Carey,Mill City,Oregon,97360,44.76627,-122.4994,themepark
loc207,171,Harbort,Monmouth,Oregon,97361,44.76684,-123.34497,mosque
loc208,70,Thierer,Mount Angel,Oregon,97362,45.06349,-122.77131,mosque
loc209,54693,Mallard,Neotsu,Oregon,97364,44.99886,-123.98685,mosque
loc210,7869,Old Shore,Newport,Oregon,97365,44.6664,-124.01078,mosque
loc211,85,Macpherson,South Beach,Oregon,97366,44.57568,-124.05835,themepark
loc212,9936,Trailsway,Lincoln City,Oregon,97367,44.91476,-123.97423,themepark
loc213,5911,Butterfield,Otis,Oregon,97368,45.02438,-123.90312,themepark
loc214,9,Raven,Otter Rock,Oregon,97369,44.76151,-124.05177,chruch
loc215,5,Ilene,Philomath,Oregon,97370,44.56375,-123.44545,chruch
loc216,0,Kingsford,Rickreall,Oregon,97371,44.9907,-123.19076,chruch
loc217,47435,Butterfield,Saint Benedict,Oregon,97373,45.05704,-122.77175,chruch
loc218,8,Stone Corner,Scio,Oregon,97374,44.67591,-122.77813,themepark
loc219,429,Kropf,Scotts Mills,Oregon,97375,44.97732,-122.59634,school
loc220,6513,Ramsey,Seal Rock,Oregon,97376,44.49823,-123.97501,themepark
loc221,6188,Dottie,Shedd,Oregon,97377,44.46329,-123.106,state building
loc222,7502,Basil,Sheridan,Oregon,97378,45.07069,-123.42113,state building
loc223,30,Carioca,Siletz,Oregon,97380,44.78602,-123.92997,state building
loc224,82,Ludington,Silverton,Oregon,97381,44.93947,-122.72072,state building
loc225,10,Summer Ridge,Stayton,Oregon,97383,44.79446,-122.72186,school
loc226,23,Westport,Mehama,Oregon,97384,44.79099,-122.61888,state building
loc227,560,Haas,Sublimity,Oregon,97385,44.86585,-122.72355,state building
loc228,18,Caliangt,Sweet Home,Oregon,97386,44.35918,-122.72704,state building
loc229,209,Comanche,Gleneden Beach,Oregon,97388,44.90351,-124.01786,mosque
loc230,34996,Dennis,Tangent,Oregon,97389,44.53348,-123.08979,mosque
loc231,2,Artisan,Tidewater,Oregon,97390,44.30941,-123.82882,mosque
loc232,8892,Kim,Toledo,Oregon,97391,44.62454,-123.89837,mosque
loc233,6,Messerschmidt,Turner,Oregon,97392,44.79561,-122.93038,state building
loc234,3795,Gerald,Waldport,Oregon,97394,44.44386,-123.90716,bus station 
loc235,65020,Westerfield,Willamina,Oregon,97396,45.1046,-123.54927,bus station 
loc236,14127,5th,Eugene,Oregon,97401,44.06799,-123.08018,bus station 
loc237,272,Monica,Eugene,Oregon,97402,44.04774,-123.2309,bus station 
loc238,2132,Lakeland,Eugene,Oregon,97403,44.03582,-123.05298,state building
loc239,9370,Sherman,Eugene,Oregon,97404,44.10546,-123.13323,chruch
loc240,27156,Petterle,Eugene,Oregon,97405,43.93956,-123.19276,chruch
loc241,92,Mallard,Agness,Oregon,97406,42.61586,-124.02125,chruch
loc242,410,Comanche,Allegany,Oregon,97407,43.42,-124.03,chruch
loc243,155,Sycamore,Eugene,Oregon,97408,44.14299,-123.05824,hospital
loc244,836,Sage,Alvadore,Oregon,97409,44.12,-123.26,hospital
loc245,78903,Fisk,Azalea,Oregon,97410,42.79894,-123.14787,hospital
loc246,32,Melby,Bandon,Oregon,97411,43.07564,-124.35938,hospital
loc247,46,Meadow Ridge,Blachly,Oregon,97412,44.20492,-123.54807,hospital
loc248,446,Hanover,Blue River,Oregon,97413,44.12478,-122.07228,hospital
loc249,44,Hooker,Broadbent,Oregon,97414,42.9613,-124.20348,hospital
loc250,3319,Montana,Brookings,Oregon,97415,42.08439,-124.17476,hospital
loc251,66,Leroy,Camas Valley,Oregon,97416,43.03412,-123.68673,state building
loc252,59401,Hovde,Canyonville,Oregon,97417,42.94766,-123.23069,state building
loc253,69,Di Loreto,Cheshire,Oregon,97419,44.18078,-123.41319,state building
loc254,111,Maywood,Coos Bay,Oregon,97420,43.35097,-124.13692,chruch
loc255,8927,Moulton,Coquille,Oregon,97423,43.19367,-124.17327,chruch
loc256,68,Rigney,Cottage Grove,Oregon,97424,43.74081,-123.01859,chruch
loc257,2919,Pearson,Creswell,Oregon,97426,43.89893,-123.02995,chruch
loc258,61,Swallow,Days Creek,Oregon,97429,42.9683,-123.0635,school
loc259,21008,Dryden,Deadwood,Oregon,97430,44.17484,-123.70519,hospital
loc260,714,Pearson,Dexter,Oregon,97431,43.86954,-122.84149,hospital
loc261,0,Logan,Dillard,Oregon,97432,43.16,-123.45,hospital
loc262,4,Huxley,Dorena,Oregon,97434,43.62129,-122.70322,hospital
loc263,713,Hazelcrest,Drain,Oregon,97435,43.6902,-123.32847,hospital
loc264,80592,Canary,Elkton,Oregon,97436,43.64001,-123.58477,hospital
loc265,768,Grover,Elmira,Oregon,97437,44.09311,-123.40875,hospital
loc266,5756,Summerview,Fall Creek,Oregon,97438,43.94424,-122.68246,hospital
loc267,80,Crest Line,Florence,Oregon,97439,44.09018,-124.04834,college
loc268,97,Moulton,Eugene,Oregon,97440,44.05,-123.11,college
loc269,45,4th,Gardiner,Oregon,97441,43.75183,-124.16615,college
loc270,712,Village Green,Glendale,Oregon,97442,42.78037,-123.42537,college
loc271,140,Pepper Wood,Glide,Oregon,97443,43.25048,-123.00426,college
loc272,7277,Kingsford,Gold Beach,Oregon,97444,42.5061,-124.3373,college
loc273,9,Oak Valley,Harrisburg,Oregon,97446,44.26073,-123.05465,college
loc274,97,Carey,Idleyld Park,Oregon,97447,43.15525,-122.21046,college
loc275,61009,Sutteridge,Junction City,Oregon,97448,44.20833,-123.27991,college
loc276,2711,5th,Lakeside,Oregon,97449,43.56337,-124.04051,college
loc277,41352,Miller,Langlois,Oregon,97450,42.90594,-124.39706,college
loc278,50,Grasskamp,Lorane,Oregon,97451,43.81523,-123.26802,college
loc279,5,Mayfield,Lowell,Oregon,97452,43.87411,-122.75008,college
loc280,62,Londonderry,Mapleton,Oregon,97453,43.98024,-123.85017,college
loc281,9,Buena Vista,Marcola,Oregon,97454,44.22151,-122.82165,mosque
loc282,45161,Service,Pleasant Hill,Oregon,97455,43.96855,-122.91966,mosque
loc283,837,Straubel,Monroe,Oregon,97456,44.33925,-123.36642,mosque
loc284,822,Lawn,Myrtle Creek,Oregon,97457,43.06451,-123.22947,mosque
loc285,2,Mesta,Myrtle Point,Oregon,97458,43.04884,-124.00854,church
loc286,746,Merchant,North Bend,Oregon,97459,43.48422,-124.18273,state building
loc287,6,Anthes,Noti,Oregon,97461,44.10853,-123.47976,church
loc288,4,Petterle,Oakland,Oregon,97462,43.48997,-123.3792,school
loc289,394,Ohio,Oakridge,Oregon,97463,43.74068,-122.38717,church
loc290,6219,Goodland,Ophir,Oregon,97464,42.5,-124.41,church
loc291,3465,Buena Vista,Port Orford,Oregon,97465,42.76352,-124.34468,church
loc292,7,Stone Corner,Powers,Oregon,97466,42.84895,-124.08523,hospital
loc293,931,Oriole,Reedsport,Oregon,97467,43.81589,-123.82391,hospital
loc294,14,Lien,Riddle,Oregon,97469,42.91068,-123.44588,hospital
loc295,8967,Prairieview,Roseburg,Oregon,97470,43.25068,-123.24241,hospital
loc296,75,Cherokee,Roseburg,Oregon,97471,43.21833,-123.48774,hospital
loc297,81264,Manufacturers,Scottsburg,Oregon,97473,43.67591,-123.8526,hospital
loc298,99,Arizona,Springfield,Oregon,97475,44.05,-123.02,hospital
loc299,916,Vidon,Sixes,Oregon,97476,42.84223,-124.4028,hospital
loc300,21,Oak,Springfield,Oregon,97477,44.05846,-123.0116,airport
loc301,79203,Heffernan,Springfield,Oregon,97478,44.08916,-122.84227,airport
loc302,253,Old Gate,Sutherlin,Oregon,97479,43.39035,-123.20831,airport
loc303,173,Arkansas,Swisshome,Oregon,97480,44.12228,-123.82517,school
loc304,8532,Di Loreto,Tenmile,Oregon,97481,43.11528,-123.56598,airport
loc305,6,Aberg,Tiller,Oregon,97484,42.94002,-122.8503,airport
loc306,1,Mariners Cove,Umpqua,Oregon,97486,43.38332,-123.53164,airport
loc307,6,Roxbury,Veneta,Oregon,97487,43.98877,-123.38721,school
loc308,78336,Daystar,Vida,Oregon,97488,44.12863,-122.41747,chruch
loc309,99,Elka,Walterville,Oregon,97489,44.16472,-122.62068,chruch
loc310,40357,Hintze,Walton,Oregon,97490,44.00414,-123.61201,chruch
loc311,56960,Mallard,Wedderburn,Oregon,97491,42.45,-124.4,chruch
loc312,3,Golden Leaf,Westfir,Oregon,97492,43.71838,-122.48481,bus station 
loc313,437,Arapahoe,Westlake,Oregon,97493,43.88959,-124.02491,bus station 
loc314,23,Anderson,Wilbur,Oregon,97494,43.3304,-123.32808,bus station 
loc315,61,Nova,Winchester,Oregon,97495,43.28104,-123.3152,bus station 
loc316,4527,Fallview,Winston,Oregon,97496,43.06648,-123.47271,school
loc317,2102,Artisan,Wolf Creek,Oregon,97497,42.66571,-123.4255,chruch
loc318,954,Bonner,Yachats,Oregon,97498,44.28461,-124.02268,chruch
loc319,66,Holmberg,Yoncalla,Oregon,97499,43.59502,-123.24807,chruch
loc320,95879,International,Medford,Oregon,97501,42.26599,-122.90084,chruch
loc321,266,Heath,Central Point,Oregon,97502,42.41458,-122.95453,office
loc322,9151,Troy,White City,Oregon,97503,42.60469,-122.92372,mosque
loc323,2167,Rieder,Medford,Oregon,97504,42.32795,-122.8005,mosque
loc324,27199,Briar Crest,Ashland,Oregon,97520,42.18237,-122.57711,mosque
loc325,38,Mayfield,Butte Falls,Oregon,97522,42.57482,-122.53057,mosque
loc326,6,Cordelia,Cave Junction,Oregon,97523,42.12309,-123.56687,school
loc327,95332,Cardinal,Eagle Point,Oregon,97524,42.46747,-122.6477,chruch
loc328,533,Blackbird,Gold Hill,Oregon,97525,42.45069,-123.06093,chruch
loc329,72430,Elgar,Grants Pass,Oregon,97526,42.53568,-123.33828,chruch
loc330,9447,Mockingbird,Grants Pass,Oregon,97527,42.37114,-123.41362,chruch
loc331,67,Shasta,Grants Pass,Oregon,97528,42.43,-123.32,office
loc332,29535,Luster,Jacksonville,Oregon,97530,42.15215,-123.0575,office
loc333,527,Service,Kerby,Oregon,97531,42.19984,-123.64566, school
loc334,4010,Surrey,Merlin,Oregon,97532,42.57376,-123.52101,temple
loc335,7,South,Murphy,Oregon,97533,42.33,-123.28,temple
loc336,804,Sauthoff,O Brien,Oregon,97534,42.11898,-123.78628,temple
loc337,68,Moose,Phoenix,Oregon,97535,42.26773,-122.81144,chruch
loc338,40,Dennis,Prospect,Oregon,97536,42.78191,-122.4947,chruch
loc339,9610,Messerschmidt,Rogue River,Oregon,97537,42.54641,-123.13782,chruch
loc340,9774,Glacier Hill,Selma,Oregon,97538,42.27054,-123.56742,chruch
loc341,6,Thackeray,Shady Cove,Oregon,97539,42.57642,-122.78622,college
loc342,54,Straubel,Talent,Oregon,97540,42.1927,-122.81726,college
loc343,1500,Westend,Trail,Oregon,97541,42.77488,-122.75541,college
loc344,4,Scoville,Wilderville,Oregon,97543,42.37506,-123.56213,college
loc345,97444,Toban,Williams,Oregon,97544,42.16138,-123.30242,college
loc346,5995,6th,Klamath Falls,Oregon,97601,42.4435,-122.07558,college
loc347,0,Sherman,Klamath Falls,Oregon,97602,42.19,-121.65,college
loc348,95,Anhalt,Klamath Falls,Oregon,97603,42.15202,-121.68353,college
loc349,232,Nelson,Crater Lake,Oregon,97604,42.95386,-122.21315,college
loc350,307,Oxford,Adel,Oregon,97620,42.20418,-119.78788,college
loc351,7549,Pepper Wood,Beatty,Oregon,97621,42.46923,-121.29366,college
loc352,92472,Sunbrook,Bly,Oregon,97622,42.41919,-121.02623,college
loc353,136,Pawling,Bonanza,Oregon,97623,42.20216,-121.27114,college
loc354,0,Steensland,Chiloquin,Oregon,97624,43.00325,-121.63569,college
loc355,243,Norway Maple,Dairy,Oregon,97625,42.31477,-121.58089,college
loc356,3930,Elgar,Fort Klamath,Oregon,97626,42.66735,-122.02791,university
loc357,91354,Packers,Keno,Oregon,97627,42.14034,-122.04993,temple
