trip_id,driver_id,cab_id,rider_id,location_start_id,ride_end_time,coupon_id,rider_payment_id,request_time,ride_start_time,ride_wait_time,total_mileage,trip_amount,discount_amount,paid_amount,trip_status,rider_rating,driver_rating,rider_review,driver_review
trip_26,EMP026,cab26,CUS1026,loc26,01-01-2020 04:57:00,0,pay026,4:07:00 AM,1/2/20,12:03:00 AM,16,62,0,62,completed,5,3,friendly customer,service is ok
trip_27,EMP027,cab27,CUS1027,loc27,01-01-2020 04:57:00,0,pay027,4:07:00 AM,1/3/20,12:03:00 AM,16,62,0,62,completed,3,2,impolite,No customer service
trip_28,EMP028,cab28,CUS1028,loc28,01-01-2020 04:57:00,0,pay028,4:07:00 AM,1/4/20,12:03:00 AM,16,62,0,62,completed,5,1,friendly customer,driver got lost
trip_29,EMP029,cab29,CUS1029,loc29,01-01-2020 04:57:00,0,pay029,4:07:00 AM,1/5/20,12:03:00 AM,16,62,0,62,completed,3,4.7,impolite,clean car
trip_30,EMP030,cab30,CUS1030,loc30,01-01-2020 04:57:00,0,pay030,4:07:00 AM,1/6/20,12:03:00 AM,16,62,0,62,completed,5,2,friendly customer,No customer service
trip_31,EMP031,cab31,CUS1031,loc31,01-01-2020 04:57:00,0,pay031,4:07:00 AM,1/1/20,12:10:00 AM,16,62,0,62,completed,1,4.7,arrived late,good service
trip_32,EMP032,cab32,CUS1032,loc32,01-01-2020 04:57:00,0,pay032,4:07:00 AM,1/1/20,12:10:00 AM,16,62,0,62,completed,4,1,good ,driver got lost
trip_33,EMP033,cab33,CUS1033,loc33,01-01-2020 04:57:00,0,pay033,4:07:00 AM,1/1/20,12:10:00 AM,16,62,0,62,completed,5,4.7,friendly customer,friendly Driver
trip_34,EMP034,cab34,CUS1034,loc34,01-01-2020 04:57:00,0,pay034,4:07:00 AM,1/1/20,12:10:00 AM,16,62,0,62,completed,3,1,impolite,driver got lost
trip_35,EMP035,cab35,CUS1035,loc35,01-01-2020 04:57:00,0,pay035,4:07:00 AM,1/1/20,12:20:00 AM,16,62,0,62,completed,5,1,friendly customer,driver got lost
trip_36,EMP036,cab36,CUS1036,loc36,01-01-2020 04:57:00,0,pay036,4:07:00 AM,1/1/20,12:20:00 AM,16,62,0,62,completed,5,3,friendly customer,service is ok
trip_37,EMP037,cab37,CUS1037,loc37,01-01-2020 04:57:00,0,pay037,4:07:00 AM,1/1/20,12:20:00 AM,16,62,0,62,completed,4,3,good ,service is ok
trip_38,EMP038,cab38,CUS1038,loc38,01-01-2020 04:09:00,0,pay038,4:07:00 AM,1/1/20,12:20:00 AM,0,0,0,0,Cancelled,0,0,,
trip_39,EMP039,cab39,CUS1039,loc39,01-01-2020 04:57:00,0,pay039,4:07:00 AM,1/1/20,12:20:00 AM,16,62,0,62,completed,3,4.5,impolite,friendly conversation
trip_40,EMP040,cab40,CUS1040,loc40,01-01-2020 04:57:00,0,pay040,4:07:00 AM,1/1/20,12:20:00 AM,16,62,0,62,completed,4,4.7,good ,friendly Driver
trip_41,EMP041,cab41,CUS1041,loc41,01-01-2020 04:57:00,0,pay041,4:07:00 AM,1/1/20,12:20:00 AM,16,62,0,62,completed,2,4.7,unfriendly,friendly Driver
trip_42,EMP042,cab42,CUS1042,loc42,01-01-2020 04:57:00,0,pay042,4:07:00 AM,1/1/20,12:20:00 AM,16,62,0,62,completed,1,1,arrived late,driver got lost
trip_43,EMP043,cab43,CUS1043,loc43,01-01-2020 04:09:00,0,pay043,4:07:00 AM,1/1/20,12:02:00 AM,0,0,0,0,Cancelled,0,0,,
trip_44,EMP044,cab44,CUS1044,loc44,01-01-2020 04:57:00,0,pay044,4:07:00 AM,1/1/20,12:20:00 AM,16,62,0,62,completed,5,4.5,friendly customer,friendly conversation
trip_45,EMP045,cab45,CUS1045,loc45,01-01-2020 04:57:00,0,pay045,4:07:00 AM,1/1/20,12:20:00 AM,16,62,0,62,completed,5,3,friendly customer,service is ok
trip_46,EMP046,cab46,CUS1046,loc46,01-01-2020 04:57:00,0,pay046,4:07:00 AM,1/1/20,12:20:00 AM,16,62,0,62,completed,5,2,friendly customer,No customer service
trip_47,EMP047,cab47,CUS1047,loc47,01-01-2020 04:09:00,0,pay047,4:07:00 AM,1/1/20,12:02:00 AM,0,0,0,0,Cancelled,0,0,,
trip_48,EMP048,cab48,CUS1048,loc48,01-01-2020 04:57:00,0,pay048,3:51:00 AM,1/1/20,12:20:00 AM,15.33,45,0,45,completed,4,4.7,good ,friendly Driver
trip_49,EMP049,cab49,CUS1049,loc49,01-01-2020 05:03:00,0,pay049,3:54:00 AM,1/1/20,12:20:00 AM,16.33,62,0,62,completed,2,2,unfriendly,No customer service
trip_50,EMP050,cab50,CUS1050,loc50,01-01-2020 06:23:00,0,pay050,5:05:00 AM,1/1/20,12:20:00 AM,19.33,66,0,66,completed,4,1,good ,driver got lost
trip_51,EMP051,cab51,CUS1051,loc51,01-01-2020 07:36:00,0,pay051,5:07:00 AM,1/1/20,12:20:00 AM,43,87,0,87,completed,1,3,arrived late,service is ok
trip_52,EMP052,cab52,CUS1052,loc52,01-01-2020 07:26:00,0,pay052,5:07:00 AM,1/1/20,12:20:00 AM,39.67,83,0,83,completed,1,4.7,arrived late,friendly Driver
trip_53,EMP053,cab53,CUS1053,loc53,01-01-2020 06:40:00,0,pay053,5:16:00 AM,1/1/20,12:20:00 AM,21.33,66,0,66,completed,3,4.7,impolite,friendly Driver
trip_54,EMP054,cab54,CUS1054,loc54,01-01-2020 06:36:00,0,pay054,5:19:00 AM,1/1/20,12:20:00 AM,19,66,0,66,completed,3,3,impolite,service is ok
trip_55,EMP055,cab55,CUS1055,loc55,01-01-2020 06:23:00,0,pay055,5:26:00 AM,1/1/20,12:20:00 AM,12.33,39,0,39,completed,2,1,unfriendly,driver got lost
trip_56,EMP056,cab56,CUS1056,loc56,01-01-2020 07:09:00,0,pay056,5:48:00 AM,1/1/20,12:20:00 AM,20.33,66,0,66,completed,2,2,unfriendly,No customer service
trip_57,EMP057,cab57,CUS1057,loc57,01-01-2020 06:57:00,0,pay057,5:49:00 AM,1/1/20,12:20:00 AM,16,62,0,62,completed,4,4.7,good ,friendly Driver
trip_58,EMP058,cab58,CUS1058,loc58,01-01-2020 06:17:00,0,pay058,5:57:00 AM,1/1/20,12:20:00 AM,0,0,0,0,Cancelled,0,0,,
trip_59,EMP059,cab59,CUS1059,loc59,01-01-2020 07:17:00,0,pay059,5:58:00 AM,1/1/20,12:20:00 AM,19.67,66,0,66,completed,1,2,arrived late,No customer service
trip_60,EMP060,cab60,CUS1060,loc60,01-01-2020 07:17:00,0,pay060,6:00:00 AM,1/1/20,12:20:00 AM,19,66,0,66,completed,5,3,friendly customer,service is ok
trip_61,EMP061,cab61,CUS1061,loc61,01-01-2020 07:13:00,0,pay061,6:06:00 AM,1/1/20,12:20:00 AM,15.67,45,0,45,completed,4,2,good ,No customer service
trip_62,EMP062,cab62,CUS1062,loc62,01-01-2020 07:50:00,0,pay062,6:41:00 AM,1/1/20,12:20:00 AM,16.33,62,0,62,completed,1,4.7,arrived late,friendly Driver
trip_63,EMP063,cab63,CUS1063,loc63,01-01-2020 07:49:00,0,pay063,6:47:00 AM,1/1/20,12:20:00 AM,14,45,0,45,completed,1,4.7,arrived late,friendly Driver
trip_64,EMP064,cab64,CUS1064,loc64,01-01-2020 08:24:00,0,pay064,7:05:00 AM,1/1/20,12:20:00 AM,19.67,66,0,66,completed,1,1,arrived late,driver got lost
trip_65,EMP065,cab65,CUS1065,loc65,01-01-2020 08:40:00,0,pay065,7:20:00 AM,1/1/20,12:20:00 AM,20,66,0,66,completed,5,1,friendly customer,
trip_66,EMP001,cab01,CUS1066,loc66,01-01-2020 08:20:00,0,pay066,7:20:00 AM,1/1/20,12:20:00 AM,13.33,45,0,45,completed,5,4.5,friendly customer,
trip_67,EMP067,cab67,CUS1067,loc67,01-01-2020 09:03:00,0,pay067,7:31:00 AM,1/1/20,12:20:00 AM,24,74,0,74,completed,1,3,arrived late,
trip_68,EMP068,cab68,CUS1068,loc68,01-01-2020 08:32:00,0,pay068,7:34:00 AM,1/1/20,12:20:00 AM,12.67,39,0,39,completed,3,4.7,impolite,
trip_69,EMP069,cab69,CUS1069,loc69,01-01-2020 08:46:00,0,pay069,7:48:00 AM,1/1/20,12:10:00 AM,16,62,0,62,completed,4,1,good ,driver got lost
trip_70,EMP070,cab70,CUS1070,loc70,01-01-2020 08:55:00,0,pay070,7:59:00 AM,1/1/20,12:05:00 AM,18.67,62,0,62,completed,2,4.5,unfriendly,friendly conversation
trip_71,EMP071,cab71,CUS1071,loc71,01-01-2020 08:55:00,0,pay071,7:59:00 AM,1/1/20,12:05:00 AM,18.67,62,0,62,completed,5,4.5,friendly customer,friendly conversation
trip_72,EMP072,cab72,CUS1072,loc72,01-01-2020 08:55:00,0,pay072,7:59:00 AM,1/1/20,12:05:00 AM,18.67,62,0,62,completed,2,4.5,unfriendly,friendly conversation
trip_73,EMP001,cab01,CUS1073,loc73,01-01-2020 08:55:00,0,pay073,7:59:00 AM,1/1/20,12:05:00 AM,18.67,62,0,62,completed,1,4.5,arrived late,friendly Driver
trip_74,EMP001,cab01,CUS1074,loc74,01-01-2020 08:55:00,0,pay074,7:59:00 AM,1/1/20,12:05:00 AM,18.67,62,0,62,completed,4,4.5,good ,friendly Driver
trip_75,EMP001,cab01,CUS1075,loc75,01-01-2020 08:55:00,0,pay075,7:59:00 AM,1/1/20,12:05:00 AM,18.67,62,0,62,completed,1,4.5,arrived late,No customer service
trip_76,EMP001,cab01,CUS1076,loc76,04-01-2020 08:27:00,0,pay076,8:25:00 AM,1/4/20,12:02:00 AM,0,0,0,0,Cancelled,0,0,,
trip_77,EMP001,cab01,CUS1077,loc77,01-01-2020 08:55:00,0,pay077,7:59:00 AM,1/1/20,12:05:00 AM,18.67,62,0,62,completed,5,4.5,friendly customer,driver got lost
trip_78,EMP001,cab01,CUS1078,loc78,01-01-2020 08:55:00,0,pay078,7:59:00 AM,1/1/20,12:05:00 AM,18.67,62,0,62,completed,5,4.5,friendly customer,friendly Driver
trip_79,EMP001,cab01,CUS1079,loc79,01-01-2020 08:55:00,0,pay079,7:59:00 AM,1/1/20,12:05:00 AM,18.67,62,0,62,completed,2,4.5,unfriendly,driver got lost
trip_80,EMP001,cab01,CUS1080,loc80,01-01-2020 08:55:00,0,pay080,7:59:00 AM,1/1/20,12:05:00 AM,18.67,62,0,62,completed,4,4.5,good ,service is ok
trip_81,EMP001,cab01,CUS1081,loc81,01-01-2020 08:55:00,0,pay081,7:59:00 AM,1/1/20,12:05:00 AM,18.67,62,0,62,completed,4,4.5,good ,friendly conversation
trip_82,EMP001,cab01,CUS1082,loc82,,0,pay082,7:59:00 AM,1/1/20,,0,0,0,0,Cancelled,0,0,,
trip_83,EMP001,cab01,CUS1083,loc83,01-01-2020 08:55:00,0,pay083,7:59:00 AM,1/1/20,12:05:00 AM,18.67,62,0,62,completed,1,4.5,arrived late,service is ok
trip_84,EMP018,cab18,CUS1084,loc84,01-01-2020 08:55:00,0,pay084,7:59:00 AM,1/1/20,12:05:00 AM,18.67,62,0,62,completed,5,4.7,friendly customer,No customer service
trip_85,EMP018,cab18,CUS1085,loc85,01-01-2020 08:55:00,0,pay085,7:59:00 AM,1/1/20,12:05:00 AM,18.67,62,0,62,completed,1,4.7,arrived late,No customer service
trip_86,EMP018,cab18,CUS1086,loc86,01-01-2020 08:55:00,0,pay086,7:59:00 AM,1/1/20,12:05:00 AM,18.67,62,0,62,completed,1,4.7,arrived late,driver got lost
trip_87,EMP018,cab18,CUS1087,loc87,,0,pay087,7:59:00 AM,1/1/20,,0,0,0,0,Cancelled,0,0,,
trip_88,EMP018,cab18,CUS1088,loc88,01-01-2020 08:55:00,0,pay088,7:59:00 AM,1/1/20,12:05:00 AM,18.67,62,0,62,completed,1,4.7,arrived late,No customer service
trip_89,EMP018,cab18,CUS1089,loc89,01-01-2020 08:55:00,0,pay089,7:59:00 AM,1/1/20,12:05:00 AM,18.67,62,0,62,completed,4,4.7,good ,driver got lost
trip_90,EMP018,cab18,CUS1090,loc90,01-01-2020 08:55:00,0,pay090,7:59:00 AM,1/1/20,12:05:00 AM,18.67,62,0,62,completed,2,4.7,unfriendly,No customer service
trip_91,EMP018,cab18,CUS1091,loc91,01-01-2020 08:55:00,0,pay091,7:59:00 AM,1/1/20,12:05:00 AM,18.67,62,0,62,completed,3,4.7,impolite,service is ok
trip_92,EMP018,cab18,CUS1092,loc92,01-01-2020 08:55:00,0,pay092,7:59:00 AM,1/1/20,12:05:00 AM,18.67,62,0,62,completed,1,4.7,arrived late,driver got lost
trip_93,EMP018,cab18,CUS1093,loc93,01-01-2020 08:55:00,0,pay093,7:59:00 AM,1/1/20,12:05:00 AM,18.67,62,0,62,completed,4,4.7,good ,service is ok
trip_94,EMP018,cab18,CUS1094,loc94,01-01-2020 08:55:00,0,pay094,7:59:00 AM,1/1/20,12:05:00 AM,18.67,62,0,62,completed,2,4.7,unfriendly,friendly conversation
trip_95,EMP018,cab18,CUS1095,loc95,,0,pay095,7:59:00 AM,1/1/20,,0,0,0,0,Cancelled,0,0,,
trip_96,EMP018,cab18,CUS1096,loc96,01-01-2020 08:55:00,0,pay096,7:59:00 AM,1/1/20,12:05:00 AM,18.67,62,0,62,completed,1,4.7,arrived late,No customer service
trip_97,EMP018,cab18,CUS1097,loc97,01-01-2020 08:55:00,0,pay097,7:59:00 AM,1/1/20,12:05:00 AM,18.67,62,0,62,completed,2,4.7,unfriendly,service is ok
trip_98,EMP018,cab18,CUS1098,loc98,01-01-2020 08:55:00,0,pay098,7:59:00 AM,1/1/20,12:05:00 AM,18.67,62,0,62,completed,2,4.7,unfriendly,friendly conversation
trip_99,EMP018,cab18,CUS1099,loc99,01-01-2020 08:55:00,0,pay099,7:59:00 AM,1/1/20,12:05:00 AM,18.67,62,0,62,completed,2,4.7,unfriendly,friendly conversation
trip_100,EMP018,cab18,CUS1100,loc100,01-01-2020 08:55:00,0,pay100,7:59:00 AM,1/1/20,12:05:00 AM,18.67,62,0,62,completed,0,0,,
trip_101,EMP018,cab18,CUS1101,loc101,01-01-2020 08:55:00,0,pay101,7:59:00 AM,1/1/20,12:05:00 AM,18.67,62,0,62,completed,5,4.7,friendly customer,service is ok
trip_102,EMP018,cab18,CUS1102,loc102,,0,pay102,7:59:00 AM,1/1/20,,0,0,0,0,Cancelled,0,0,,
trip_103,EMP018,cab18,CUS1103,loc103,01-01-2020 08:55:00,0,pay103,7:59:00 AM,1/1/20,12:05:00 AM,18.67,62,0,62,completed,5,4.7,friendly customer,service is ok
trip_104,EMP018,cab18,CUS1104,loc104,01-01-2020 08:55:00,0,pay104,7:59:00 AM,1/1/20,12:05:00 AM,18.67,62,0,62,completed,4,4.7,good ,comfortable ride
trip_105,EMP018,cab18,CUS1105,loc105,01-01-2020 08:55:00,0,pay105,7:59:00 AM,1/1/20,12:05:00 AM,18.67,62,0,62,completed,5,4.7,friendly customer,friendly conversation
trip_106,EMP018,cab18,CUS1106,loc106,01-01-2020 08:55:00,0,pay106,7:59:00 AM,1/1/20,12:05:00 AM,18.67,62,0,62,completed,1,4.7,arrived late,comfortable ride
trip_107,EMP018,cab18,CUS1107,loc107,01-01-2020 08:55:00,0,pay107,7:59:00 AM,1/1/20,12:05:00 AM,18.67,62,0,62,completed,3,4.7,impolite,friendly conversation
trip_108,EMP018,cab18,CUS1108,loc108,01-01-2020 08:55:00,0,pay108,7:59:00 AM,1/1/20,12:05:00 AM,18.67,62,0,62,completed,1,4.7,arrived late,service is ok
trip_109,EMP018,cab18,CUS1109,loc109,01-01-2020 08:55:00,0,pay109,7:59:00 AM,1/1/20,12:05:00 AM,18.67,62,0,62,completed,4,4.7,good ,friendly conversation
trip_110,EMP018,cab18,CUS1110,loc110,01-01-2020 08:55:00,0,pay110,7:59:00 AM,1/1/20,12:05:00 AM,18.67,62,0,62,completed,3,4.7,impolite,friendly conversation
trip_111,EMP018,cab18,CUS1111,loc111,01-01-2020 08:55:00,0,pay111,7:59:00 AM,1/1/20,12:05:00 AM,18.67,62,0,62,completed,1,4.7,arrived late,No customer service
trip_112,EMP018,cab18,CUS1112,loc112,01-01-2020 08:55:00,0,pay112,7:59:00 AM,1/1/20,12:05:00 AM,18.67,62,0,62,completed,4,4.7,good ,No customer service
trip_113,EMP018,cab18,CUS1113,loc113,,0,pay113,7:59:00 AM,1/1/20,,0,0,0,0,Cancelled,0,0,,
trip_114,EMP018,cab18,CUS1114,loc114,01-01-2020 08:55:00,0,pay114,7:59:00 AM,1/1/20,12:05:00 AM,18.67,62,0,62,completed,3,4.7,impolite,comfortable ride
trip_115,EMP018,cab18,CUS1115,loc115,01-01-2020 08:55:00,0,pay115,7:59:00 AM,1/1/20,12:05:00 AM,18.67,62,0,62,completed,5,4.7,friendly customer,driver got lost
trip_116,EMP018,cab18,CUS1116,loc116,01-01-2020 08:55:00,0,pay116,7:59:00 AM,1/1/20,12:05:00 AM,18.67,62,0,62,completed,3,4.7,impolite,friendly conversation
trip_117,EMP018,cab18,CUS1117,loc117,01-01-2020 08:55:00,0,pay117,7:59:00 AM,1/1/20,12:05:00 AM,18.67,62,0,62,completed,5,4.7,friendly customer,service is ok
trip_118,EMP018,cab18,CUS1118,loc118,01-01-2020 08:55:00,0,pay118,7:59:00 AM,1/1/20,12:05:00 AM,18.67,62,0,62,completed,4,4.7,good ,driver got lost
trip_119,EMP018,cab18,CUS1119,loc119,01-01-2020 08:55:00,0,pay119,7:59:00 AM,1/1/20,12:05:00 AM,18.67,62,0,62,completed,2,4.7,unfriendly,service is ok
trip_120,EMP018,cab18,CUS1120,loc120,01-01-2020 08:55:00,0,pay120,7:59:00 AM,1/1/20,12:05:00 AM,18.67,62,0,62,completed,4,4.7,good ,service is ok
trip_121,EMP018,cab18,CUS1121,loc121,01-01-2020 08:55:00,0,pay121,7:59:00 AM,1/1/20,12:05:00 AM,18.67,62,0,62,completed,1,4.7,arrived late,comfortable ride
trip_122,EMP018,cab18,CUS1122,loc122,01-01-2020 08:55:00,0,pay122,7:59:00 AM,1/1/20,12:05:00 AM,18.67,62,0,62,completed,3,4.7,impolite,comfortable ride
trip_123,EMP018,cab18,CUS1123,loc123,01-01-2020 08:55:00,0,pay123,7:59:00 AM,1/1/20,12:05:00 AM,18.67,62,0,62,completed,3,4.7,impolite,No customer service
trip_124,EMP018,cab18,CUS1124,loc124,,0,pay124,7:59:00 AM,1/1/20,,0,0,0,0,Cancelled,0,0,,
trip_125,EMP018,cab18,CUS1125,loc125,,0,pay125,7:59:00 AM,1/1/20,,0,0,0,0,Cancelled,0,0,,
trip_126,EMP018,cab18,CUS1126,loc126,,0,pay126,7:59:00 AM,1/1/20,,0,0,0,0,Cancelled,0,0,,
trip_127,EMP018,cab18,CUS1127,loc127,,0,pay127,7:59:00 AM,1/1/20,,0,0,0,0,Cancelled,0,0,,
trip_128,EMP018,cab18,CUS1128,loc128,,0,pay128,7:59:00 AM,1/1/20,,0,0,0,0,Cancelled,0,0,,
trip_129,EMP018,cab18,CUS1129,loc129,01-01-2020 08:55:00,0,pay129,7:59:00 AM,1/1/20,12:05:00 AM,18.67,62,0,62,completed,1,4.7,arrived late,friendly conversation
trip_130,EMP018,cab18,CUS1130,loc130,01-01-2020 08:55:00,0,pay130,7:59:00 AM,1/1/20,12:05:00 AM,18.67,62,0,62,completed,1,4.7,arrived late,comfortable ride
trip_131,EMP018,cab18,CUS1131,loc131,01-01-2020 08:55:00,0,pay131,7:59:00 AM,1/1/20,12:05:00 AM,18.67,62,0,62,completed,5,4.7,friendly customer,
trip_132,EMP018,cab18,CUS1132,loc132,01-01-2020 08:55:00,0,pay132,7:59:00 AM,1/1/20,12:05:00 AM,18.67,62,0,62,completed,5,4.7,friendly customer,
trip_133,EMP018,cab18,CUS1133,loc133,01-01-2020 08:55:00,0,pay133,7:59:00 AM,1/1/20,12:05:00 AM,18.67,62,0,62,completed,5,4.7,friendly customer,
trip_134,EMP018,cab18,CUS1134,loc134,01-01-2020 08:55:00,0,pay134,7:59:00 AM,1/1/20,12:05:00 AM,18.67,62,0,62,completed,4,4.7,good ,
trip_135,EMP018,cab18,CUS1135,loc135,01-01-2020 08:55:00,0,pay135,7:59:00 AM,1/1/20,12:05:00 AM,18.67,62,0,62,completed,5,4.7,friendly customer,arrived early pulled off w/o waiting
trip_136,EMP018,cab18,CUS1136,loc136,01-01-2020 08:55:00,0,pay136,7:59:00 AM,1/1/20,12:05:00 AM,18.67,62,0,62,completed,4,4.7,good ,service is ok
trip_137,EMP018,cab18,CUS1137,loc137,01-01-2020 08:55:00,0,pay137,7:59:00 AM,1/1/20,12:05:00 AM,18.67,62,0,62,completed,5,4.7,friendly customer,service is ok
trip_138,EMP018,cab18,CUS1138,loc138,01-01-2020 08:55:00,0,pay138,7:59:00 AM,1/1/20,12:05:00 AM,18.67,62,0,62,completed,5,4.7,friendly customer,No customer service
trip_139,EMP018,cab18,CUS1139,loc139,01-01-2020 08:55:00,0,pay139,7:59:00 AM,1/1/20,12:05:00 AM,18.67,62,0,62,completed,5,4.7,friendly customer,comfortable ride
trip_140,EMP018,cab18,CUS1140,loc140,01-01-2020 08:55:00,0,pay140,7:59:00 AM,1/1/20,12:05:00 AM,18.67,62,0,62,completed,3,4.7,impolite,No customer service
trip_141,EMP018,cab18,CUS1141,loc141,01-01-2020 08:55:00,0,pay141,7:59:00 AM,1/1/20,12:05:00 AM,18.67,62,0,62,completed,0,0,,
trip_142,EMP018,cab18,CUS1142,loc142,01-01-2020 08:55:00,0,pay142,7:59:00 AM,1/1/20,12:05:00 AM,18.67,62,0,62,completed,3,4.7,impolite,No customer service
trip_143,EMP018,cab18,CUS1143,loc143,01-01-2020 15:50:00,0,pay143,3:04:00 PM,1/1/20,12:07:00 AM,13,45,0,45,completed,5,4.7,friendly customer,comfortable ride
trip_144,EMP018,cab18,CUS1144,loc144,01-01-2020 15:50:00,0,pay144,3:04:00 PM,1/1/20,12:07:00 AM,13,45,0,45,completed,3,4.7,impolite,No customer service
trip_145,EMP018,cab18,CUS1145,loc145,01-01-2020 15:50:00,0,pay145,3:04:00 PM,1/1/20,12:07:00 AM,13,45,0,45,completed,3,4.7,impolite,arrived early pulled off w/o waiting
trip_146,EMP018,cab18,CUS1146,loc146,01-01-2020 15:50:00,0,pay146,3:04:00 PM,1/1/20,12:07:00 AM,13,45,0,45,completed,4,4.7,excellent,friendly conversation
trip_147,EMP018,cab18,CUS1147,loc147,01-01-2020 15:50:00,0,pay147,3:04:00 PM,1/1/20,12:07:00 AM,13,45,0,45,completed,3,4.7,impolite,arrived early pulled off w/o waiting
